#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      6.99e+01    5.84e+01      5.08e-01    4.90e-01      2.21e+00    1.85e+00    1.0e-03
    100      2.86e+01    2.06e+01      1.38e+00    1.35e+00      9.03e-01    6.48e-01    1.0e-03
    200      2.58e+01    2.18e+01      1.20e+00    1.19e+00      8.16e-01    6.87e-01    1.0e-03
    300      8.16e+00    1.12e+01      2.91e-01    2.91e-01      2.58e-01    3.54e-01    1.0e-03
    400      4.04e+00    6.81e+00      2.43e-01    2.53e-01      1.27e-01    2.15e-01    1.0e-03
    500      4.96e+00    5.53e+00      1.01e-01    9.67e-02      1.57e-01    1.75e-01    1.0e-03
    600      4.76e+00    3.87e+00      4.16e-01    4.16e-01      1.50e-01    1.21e-01    1.0e-03
    700      9.70e+00    6.32e+00      2.45e-01    2.54e-01      3.07e-01    2.00e-01    1.0e-03
    800      3.05e+00    8.59e+00      1.33e-01    1.25e-01      9.63e-02    2.71e-01    1.0e-03
    900      4.61e+00    3.87e+00      8.61e-02    8.36e-02      1.46e-01    1.22e-01    1.0e-03
   1000      4.03e+00    8.62e+00      8.96e-02    8.87e-02      1.28e-01    2.72e-01    1.0e-03
   1100      5.80e+00    9.29e+00      2.09e-01    2.11e-01      1.83e-01    2.94e-01    1.0e-03
   1200      3.33e+00    2.89e+00      5.60e-01    5.58e-01      1.03e-01    8.91e-02    1.0e-03
   1300      6.32e+00    8.74e+00      2.83e-01    2.85e-01      1.99e-01    2.76e-01    1.0e-03
   1400      7.69e+00    6.91e+00      5.49e-02    5.43e-02      2.43e-01    2.18e-01    1.0e-03
   1500      1.21e+01    5.69e+00      1.75e-01    1.78e-01      3.81e-01    1.80e-01    1.0e-03
   1600      3.60e+00    6.57e+00      9.00e-02    8.46e-02      1.14e-01    2.08e-01    1.0e-03
   1700      7.72e+00    6.94e+00      4.95e-01    4.94e-01      2.43e-01    2.19e-01    1.0e-03
   1800      6.17e+00    4.81e+00      1.91e-01    2.02e-01      1.95e-01    1.52e-01    1.0e-03
   1900      4.92e+00    2.80e+00      1.04e-01    1.07e-01      1.56e-01    8.84e-02    1.0e-03
   2000      2.45e+00    7.02e+00      2.29e-01    2.43e-01      7.70e-02    2.22e-01    1.0e-03
   2100      2.04e+00    3.36e+00      1.49e-01    1.46e-01      6.44e-02    1.06e-01    1.0e-03
   2200      3.95e+00    6.51e+00      8.75e-02    7.81e-02      1.25e-01    2.06e-01    1.0e-03
   2300      4.38e+00    3.11e+00      4.25e-01    4.29e-01      1.38e-01    9.72e-02    1.0e-03
   2400      2.05e+00    6.31e+00      2.07e-01    2.09e-01      6.43e-02    2.00e-01    1.0e-03
   2500      6.86e+00    3.05e+00      2.56e-01    2.82e-01      2.17e-01    9.58e-02    1.0e-03
   2600      4.93e+00    4.68e+00      8.73e-02    8.65e-02      1.56e-01    1.48e-01    1.0e-03
   2700      8.20e+00    7.64e+00      1.49e-01    1.45e-01      2.59e-01    2.42e-01    1.0e-03
   2800      5.39e+00    5.85e+00      2.83e-01    2.77e-01      1.70e-01    1.85e-01    1.0e-03
   2900      2.61e+00    3.60e+00      4.25e-02    4.53e-02      8.25e-02    1.14e-01    1.0e-03
   3000      2.58e+00    2.27e+00      1.65e-01    1.64e-01      8.12e-02    7.16e-02    1.0e-03
   3100      2.41e+00    7.42e+00      3.45e-02    2.95e-02      7.62e-02    2.35e-01    1.0e-03
   3200      8.60e+00    5.34e+00      2.85e-01    2.92e-01      2.72e-01    1.69e-01    1.0e-03
   3300      6.79e+00    3.18e+00      9.44e-02    9.62e-02      2.15e-01    1.00e-01    1.0e-03
   3400      3.97e+00    5.10e+00      1.65e-02    1.62e-02      1.26e-01    1.61e-01    1.0e-03
   3500      4.52e+00    2.08e+00      1.46e-01    1.45e-01      1.43e-01    6.57e-02    1.0e-03
   3600      1.38e+00    4.05e+00      1.92e-01    1.79e-01      4.30e-02    1.28e-01    1.0e-03
